productos_precio_lista,sucursales_latitud,sucursales_longitud
1575.00,-33.2428923,-60.3179436
1575.00,-31.860934,-59.031579
1575.00,-34.627755,-58.508485
1575.00,-32.723682,-59.396034
1575.00,-33.006972,-58.537419
1640.00,-24.7814935,-65.4143692
1640.00,-24.7869634,-65.4323303
1640.00,-24.8857,-65.469513
1640.00,-24.671542,-65.045994
1575.00,-34.5736049,-58.4232349
1419.00,-34.598928,-58.491826
1419.00,-34.603219,-58.378116
1419.00,-34.617182,-58.467454
1379.00,-34.491345,-58.589025
1419.00,-34.810018,-58.457241
1419.00,-34.594504,-58.428737
1419.00,-34.565080,-58.470704
1275.00,-31.413639,-64.169879
1419.00,-34.633156,-58.459408
1419.00,-34.588209,-58.419052
1447.99,-34.8440028,-58.507952
1447.99,-34.5847845,-58.4165247
1447.99,-34.533164,-58.5024536
1447.99,-34.6561036,-58.4767969
1380.00,-43.2648,-65.2797
999.00,-37.9997406,-57.5600652
1365.00,-37.9953049,-57.5514344
1300.00,-38.0312389,-57.5879645
1365.00,-38.0350613,-57.5521354
1300.00,-38.0020402,-57.5852835
1365.00,-38.0020818,-57.5462751
1300.00,-37.9779232,-57.5761531
1399.00,-37.9967229,-57.6028425
1456.00,-38.2422279,-57.7947644
899.00,-37.9694353,-57.5925867
1300.00,-37.9879093,-57.5586834
1456.00,-38.5528962,-58.7438668
1456.00,-37.1121458,-56.8635215
1365.00,-37.9688563,-57.5497341
1750.00,-46.546390,-68.927910
1447.99,-34.6062442,-58.5106551
1447.99,-34.6119916,-58.3989244
1447.99,-34.893323,-58.571979
1447.99,-34.4524395,-58.527515
1619.00,-34.591615,-58.433900
1619.00,-34.552189,-58.558483
1619.00,-34.587264,-58.423108
1619.00,-34.600614,-58.430800
1419.00,-31.402623,-64.199156
1619.00,-34.544189,-58.714900
1380.00,-32.885582,-68.842280
1619.00,-34.622701,-58.409197
1619.00,-34.651086,-58.642884
1419.00,-31.415382,-64.180514
1619.00,-34.597579,-58.419235
1619.00,-34.568676,-58.434871
1495.00,-26.835085,-65.252036
1575.00,-34.5971373,-58.4976429
1575.00,-34.6289482,-58.4642662
1575.00,-34.6298527,-58.3628499
1575.00,-34.6830345,-58.5553009
1575.00,-34.7116294,-58.2820677
1575.00,-34.6460108,-58.5929389
1575.00,-34.627766,-58.4338966
1575.00,-34.8742082,-57.8678337
1575.00,-34.650879,-58.5153128
1575.00,-34.7431662,-58.3939275
1575.00,-34.5376215,-58.5117145
1575.00,-34.8198093,-58.4673986
1575.00,-34.7693312,-58.3556143
1575.00,-34.8097369,-58.1872598
1575.00,-34.8338743,-58.4949847
1575.00,-34.5286128,-58.4931423
1575.00,-34.46141,-58.775516
1575.00,-34.6375385,-58.5001704
1575.00,-34.984291,-58.376123
1575.00,-34.5247293,-58.5473185
1575.00,-34.5582314,-58.5699744
1575.00,-34.542076,-58.4733624
1575.00,-34.7208867,-58.57033
